start_time,stop_time,avg_intensity
0,20,59.666666666666664
20,40,14.025
40,60,20.4
60,80,12.95
80,100,8.7
100,120,28.075000000000003
120,140,12.275
140,160,8.975000000000001
160,180,35.925
180,200,9.6
200,220,13.425
220,240,29.275
240,260,10.0
260,280,10.0
280,300,10.0
300,320,9.559999999999999
320,340,13.825
340,360,46.833333333333336
360,380,21.939999999999998
380,400,13.575000000000001
400,420,9.533333333333333
420,440,9.9
440,460,8.200000000000001
460,480,34.475
480,500,18.52
500,520,10.866666666666665
520,540,9.95
540,560,9.08
560,580,18.666666666666668
580,600,27.05
600,620,10.85
620,640,7.775
640,660,33.8
660,680,31.725
680,700,26.75
700,720,16.6
720,740,13.5
740,760,10.0
760,780,10.0
780,800,10.0
800,820,23.575
820,840,14.525
840,860,9.525
860,880,9.575
880,900,15.425
900,920,12.4
920,940,10.0
940,960,8.55
960,980,33.125
980,1000,9.675
1000,1020,13.675
1020,1040,11.675
1040,1060,9.9
1060,1080,11.2
1080,1100,10.55
1100,1120,10.0
1120,1140,9.775
1140,1160,13.166666666666666
1160,1180,10.86
1180,1200,10.0
1200,1220,10.0
1220,1240,10.0
1240,1260,10.0
1260,1280,4.533333333333333
1280,1300,66.22
1300,1320,12.266666666666666
1320,1340,41.325
1340,1360,46.6
1360,1380,7.466666666666666
1380,1400,9.975
1400,1420,9.84
1420,1440,11.533333333333333
1440,1460,12.0
1460,1480,11.125
1480,1500,21.325
1500,1520,14.285714285714286
